,Status,Life expectancy ,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles , BMI ,under-five deaths ,Total expenditure, HIV/AIDS,GDP,Population, thinness  1-19 years, thinness 5-9 years,Income composition of resources,Schooling,Adult Mortality,Polio,Diphtheria
0,Developing,65.0,62,0.01,71.27962362,65.0,1154,19.1,83,8.16,0.1,584.2592099999999,33736494.0,17.2,17.3,0.479,10.1,233.2,69.0,65.0
1,Developing,59.9,64,0.01,73.52358168,62.0,492,18.6,86,8.18,0.1,612.696514,327582.0,17.5,17.5,0.47600000000000003,10.0,234.3,62.0,62.0
2,Developing,59.9,66,0.01,73.21924272,64.0,430,18.1,89,8.13,0.1,631.744976,31731688.0,17.7,17.7,0.47,9.9,235.5,64.0,64.0
3,Developing,59.5,69,0.01,78.18421529999999,67.0,2787,17.6,93,8.52,0.1,669.959,3696958.0,17.9,18.0,0.46299999999999997,9.8,242.3,67.0,67.0
4,Developing,59.2,71,0.01,7.097108703,68.0,3013,17.2,97,7.87,0.1,63.537231000000006,2978599.0,18.2,18.2,0.45399999999999996,9.5,248.2,68.0,68.0
5,Developing,58.8,74,0.01,79.67936736,66.0,1989,16.7,102,9.2,0.1,553.32894,2883167.0,18.4,18.4,0.44799999999999995,9.2,254.8,66.0,66.0
6,Developing,58.6,77,0.01,56.76221682,63.0,2861,16.2,106,9.42,0.1,445.89329789999994,284331.0,18.6,18.7,0.434,8.9,259.8,63.0,63.0
7,Developing,58.1,80,0.03,25.87392536,64.0,1599,15.7,110,8.33,0.1,373.3611163,2729431.0,18.8,18.9,0.433,8.7,264.9,64.0,64.0
8,Developing,57.5,82,0.02,10.91015598,63.0,1141,15.2,113,6.73,0.1,369.835796,26616792.0,19.0,19.1,0.415,8.4,272.6,63.0,63.0
9,Developing,57.3,84,0.03,17.17151751,64.0,1990,14.7,116,7.43,0.1,272.56377000000003,2589345.0,19.2,19.3,0.405,8.1,275.8,58.0,58.0
10,Developing,57.3,85,0.02,1.388647732,66.0,1296,14.2,118,8.7,0.1,25.2941299,257798.0,19.3,19.5,0.396,7.9,277.2,58.0,58.0
11,Developing,57.0,87,0.02,15.29606643,67.0,466,13.8,120,8.79,0.1,219.1413528,24118979.0,19.5,19.7,0.381,6.8,281.9,50.0,50.0
12,Developing,56.7,87,0.01,11.08905273,65.0,798,13.4,122,8.82,0.1,198.7285436,2364851.0,19.7,19.9,0.373,6.5,286.5,41.0,41.0
